Id,Name,Latitude,Longitude,Altitude,Ownership,Type,admin3Name,admin3Pcod,admin2Name,admin2Pcod,admin1Name,admin1Pcod,City,Kebele,Status
1041187,Sere Tawrata Basic Health Post,6.706063300000000,37.687608300000001,1720.000000000000000,Public/Government,Health Post,Humbo,ET070604,Wolayita,ET0706,SNNP,ET07,Sere Tawrata,Sere Tawrata,Approved
1039815,Serea Health Post,14.099661700000000,39.075386700000003,1989.800048999999944,Public/Government,Health Post,Edaga arbi,ET010203,Central,ET0102,Tigray,ET01,,Serea,Approved
1066620,Serea Health Post,13.645117400000000,40.046004000000003,651.000000000000000,Public/Government,Health Post,Berahile,ET020205,Kilbati /Zone2,ET0202,Afar,ET02,,Serea,Approved
1025983,Sereba Health Post,13.207607100000001,40.857735099999999,-93.099999999999994,Public/Government,Health Post,Afdera,ET020207,Kilbati /Zone2,ET0202,Afar,ET02,,,Approved
1076713,Sereke Birhan Health Post,10.827550199999999,37.807153999999997,3086.000000000000000,Public/Government,Health Post,Hulet Ej Enese,ET030602,East Gojam,ET0306,Amhara,ET03,sedie,Sereke birhan,Approved
1076268,Serekenal Health post,12.070503400000000,38.053429999999999,2037.400000000000091,Public/Government,Health Post,Ebenat,ET030201,South Gondar,ET0302,Amhara,ET03,,Serekenal,Approved
1089497,Serenity Medical Office Practice,8.992424500000000,38.728186000000001,2316.599854000000050,Private for profit,Medical Office Practice,Lideta,ET140105,Region 14,ET1401,Addis Ababa,ET14,Addis Abeba,"000",Approved
1042348,Serera Health Center,7.303679800000000,37.787204600000003,2723.208999999999833,Public/Government,Health Center,Doyogena,ET070306,Kembata Tembaro,ET0703,SNNP,ET07,,serera,Approved
1042359,Serera Health Post,7.308055100000000,37.790344099999999,2719.400000000000091,Public/Government,Health Post,Doyogena,ET070306,Kembata Tembaro,ET0703,SNNP,ET07,Doyogena,Serera,Approved
1025995,Seret Health Post,13.042432000000000,39.385420000000003,,Public/Government,Health Post,Selewa,ET010401,Southern,ET0104,Tigray,ET01,,Seret,Pending
1039390,Seret Health Post,13.006575399999999,39.347516300000002,2520.378999999999905,Public/Government,Health Post,Selewa,ET010401,Southern,ET0104,Tigray,ET01,,seret,Approved
1085656,Seret Pharmacy,14.121599399999999,38.729521599999998,2142.086999999999989,Private for profit,Pharmacy,Axum town,ET010213,Central,ET0102,Tigray,ET01,,Kindaya,Approved
1070760,Sergayet Health Post,11.356381900000001,38.240564399999997,2553.000000000000000,Public/Government,Health Post,Semada,ET030207,South Gondar,ET0302,Amhara,ET03,,Kosh,Approved
1054234,Serget Health Post,10.227373300000000,40.266806699999997,632.995849600000042,Public/Government,Health Post,Hadelela,ET020505,Hari /Zone 5,ET0205,Afar,ET02,,,Approved
1076574,Sergina Health Post,10.085109400000000,39.105099199999998,2418.599999999999909,Public/Government,Health Post,Merhabete,ET030502,North Shewa (AM),ET0305,Amhara,ET03,,Sergina,Approved
1046120,Seri Bela Health post,7.102033400000000,37.367382499999998,1727.000000000000000,Public/Government,Health Post,Zabagazo,ET110410,Dawuro,ET1104,South West Ethiopia,ET11,,Seri Bela,Approved
1067618,Seri Health Post,7.004749900000000,37.083084100000001,2267.000000000000000,Public/Government,Health Post,Mari Mansa,ET110408,Dawuro,ET1104,South West Ethiopia,ET11,,Seri,Approved
1067411,Seri Shewa Health Post,6.998876700000000,36.668130599999998,1272.383000000000038,Public/Government,Health Post,Konta,ET110601,Konta Special,ET1106,South West Ethiopia,ET11,,,Approved
1077505,Seriel Health Post,12.737891899999999,38.966686199999998,2105.000000000000000,Public/Government,Health Post,Sekota,ET030802,Wag Hamra,ET0308,Amhara,ET03,,Seriel Kebele,Approved
1069856,Seriele Health Center,12.744041599999999,38.973904699999999,2124.000000000000000,Public/Government,Health Center,Sekota,ET030802,Wag Hamra,ET0308,Amhara,ET03,,Seriel  kebele,Approved
1086445,Serina Pharmacy,13.470549699999999,39.453590200000001,2167.699951000000056,Private for profit,Pharmacy,Mekelle,ET010701,Mekelle,ET0107,Tigray,ET01,,,Approved
1042557,Serit Health post,6.240275200000000,35.223172499999997,1647.883049000000028,Public/Government,Health Post,Bero,ET110505,Mirab Omo,ET1105,South West Ethiopia,ET11,,Serit,Approved
1074555,Seriti Health Post,9.516496900000000,39.433491699999998,2825.000000000000000,Public/Government,Health Post,Angolelana Tera,ET030513,North Shewa (AM),ET0305,Amhara,ET03,Debrebirhan Town,Seriti,Approved
1026004,Seriti Health Post,7.900370400000000,36.117287599999997,2250.800000000000182,Public/Government,Health Post,Sigmo,ET040412,Jimma,ET0404,Oromia,ET04,Seriti,Seriti,Approved
